user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Berapa harga AC LG 1 pk,['Nama Produk: LG - 1 PK. Kategori: AC. Merek: LG. Harga Unit Produk: Rp3850000.00. Keterangan Singkat: AC LG 1 PK. Jasa Bundling/Pemasangan Wajib: Jasa Pasang AC Split - 0.5 - 1 PK (Biaya Tambahan Jasa: Rp250000).'],Untuk AC LG 1 PK harganya Rp3.850.000 yaa kak. Harga tersebut belum termasuk jasa pasang. Untuk jasa pasang AC Split 0.5-1 PK ada tambahan biaya Rp250.000.,Harga AC LG 1 PK adalah Rp3.850.000 dengan jasa pasang wajib Rp250.000,1.0,0.960411949107931,0.9999999999,1.0
Ada AC yang cocok untuk ruangan 12 m persegi,['Nama Produk: DAIKIN THAILAND - 1 PK. Kategori: AC. Merek: DAIKIN THAILAND. Harga Unit Produk: Rp4307000.00. Keterangan Singkat: AC Daikin Thailand 1 PK. Nama Produk: LG - 1 PK. Kategori: AC. Merek: LG. Harga Unit Produk: Rp3850000.00. Keterangan Singkat: AC LG 1 PK.'],Untuk ruangan 12 m² cocoknya pakai AC 0.5 sampai 1 PK kak. Kami punya beberapa pilihan seperti Daikin Thailand 1 PK Rp4.307.000 atau LG 1 PK Rp3.850.000.,Untuk ruangan 12 m² cocok menggunakan AC 0.5-1 PK seperti Daikin Thailand 1 PK Rp4.307.000 atau LG 1 PK Rp3.850.000,0.6666666666666666,0.941205362207501,0.9999999999,0.0
Merek AC apa saja yang tersedia,['Nama Produk: DAIKIN - 1.5 PK. Merek: DAIKIN. Nama Produk: DAIKIN THAILAND - 1 PK. Merek: DAIKIN THAILAND. Nama Produk: LG - 1 PK. Merek: LG. Nama Produk: HONSHU - 2 PK. Merek: HONSHU.'],"Kami menyediakan beberapa merek AC kak, antara lain Daikin, Daikin Thailand, LG, Honshu, dan beberapa merek lainnya.","Merek AC yang tersedia antara lain Daikin, Daikin Thailand, LG, dan Honshu",0.8333333333333334,0.953625988600218,0.9999999999,1.0
Berapa harga AC Daikin 2 pk,['Nama Produk: DAIKIN - 2 PK. Kategori: AC. Merek: DAIKIN. Harga Unit Produk: Rp7200000.00. Keterangan Singkat: AC Daikin 2 PK. Jasa Bundling/Pemasangan Wajib: Jasa Pasang AC Split - 1.5 - 2 PK (Biaya Tambahan Jasa: Rp350000).'],Untuk AC Daikin 2 PK harganya Rp7.200.000 yaa kak. Harga tersebut belum termasuk jasa pasang. Untuk jasa pasang AC Split 1.5-2 PK ada tambahan biaya Rp350.000.,Harga AC Daikin 2 PK adalah Rp7.200.000 dengan jasa pasang wajib Rp350.000,1.0,0.9578727258344889,0.9999999999,1.0
AC apa yang paling hemat listrik 1.5 pk,['Nama Produk: DAIKIN - 1.5 PK. Kategori: AC. Merek: DAIKIN. Harga Unit Produk: Rp5345000.00. Keterangan Singkat: AC Daikin Inverter 1.5 PK. Spesifikasi Detail: Model Representatif: Daikin Inverter (FTKQ35UVM4). Daya Listrik: 990 Watt (Mode Inverter). EER: Bintang 5.'],"Untuk AC 1.5 PK yang hemat listrik, kami rekomendasikan Daikin Inverter 1.5 PK kak. Dengan mode inverter daya listriknya hanya 990 Watt dan sudah EER Bintang 5. Harganya Rp5.345.000.","AC Daikin Inverter 1.5 PK memiliki daya 990 Watt dengan EER Bintang 5, harga Rp5.345.000",0.8,0.9489436809143781,0.9999999999,1.0
Aire Optima buka jam berapa,['Jam Operasional: Buka setiap hari (Senin - Minggu) selama 24 Jam.'],Aire Optima buka setiap hari Senin sampai Minggu selama 24 jam kak.,Aire Optima buka setiap hari Senin-Minggu selama 24 jam,0.0,0.9506857845556428,0.9999999999,1.0
Area layanan Aire Optima meliputi mana saja,"['Cakupan Area Layanan: Meliputi wilayah Surabaya, Gresik, dan Sidoarjo.']","Area layanan kami meliputi wilayah Surabaya, Gresik, dan Sidoarjo kak.","Area layanan Aire Optima meliputi Surabaya, Gresik, dan Sidoarjo",0.0,0.8828734974255451,0.9999999999,1.0
Bagaimana cara pesan jasa pasang AC,"['Alur Pemesanan: Pelanggan melakukan konsultasi atau langsung mengajukan permintaan pesanan kepada Bot. Bot akan mengumpulkan data detail pesanan. Setelah seluruh data pesanan dan data diri lengkap, sistem akan mengirimkan notifikasi kepada Admin. Admin akan menghubungi pelanggan melalui WhatsApp untuk konfirmasi akhir dan penentuan jadwal kedatangan teknisi.']","Untuk pesan jasa pasang AC, kakak bisa langsung konsultasi di sini. Nanti saya bantu kumpulkan data pesanan, lalu admin kami akan menghubungi kakak via WhatsApp untuk konfirmasi jadwal teknisi.","Alur pemesanan: konsultasi dengan bot, bot kumpulkan data pesanan, admin konfirmasi via WhatsApp dan tentukan jadwal teknisi",0.75,0.9734924333536008,0.9999999999,1.0
Metode pembayaran apa saja yang tersedia,"['Metode Pembayaran: Aire mendukung dua sistem pembayaran: Pembayaran di Awal (Transfer Manual, QRIS, Multi Payment Online) dan Pembayaran di Akhir setelah jasa selesai (Postpaid).']","Kami menyediakan beberapa metode pembayaran kak: Transfer Manual, QRIS, Multi Payment Online, atau bisa juga bayar di akhir setelah teknisi selesai bekerja (Postpaid).","Metode pembayaran: Transfer Manual, QRIS, Multi Payment Online, atau bayar di akhir (Postpaid)",1.0,0.9385649042141101,0.9999999999,1.0
Apakah bisa reschedule jadwal teknisi,['Kebijakan Reschedule & Pembatalan: Reschedule dan pembatalan bisa dilakukan selama teknisi belum perjalanan ke lokasi.'],"Bisa kak, reschedule dan pembatalan bisa dilakukan selama teknisi belum dalam perjalanan ke lokasi.",Reschedule dan pembatalan bisa dilakukan selama teknisi belum dalam perjalanan ke lokasi,1.0,0.8650571163068469,0.9999999999,1.0
